,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time,R0,R1,R2,R3,V0,V1,V2,V3,Temperature,Sample Time,Cap,Motor Position,Calculated Strain,Corrected R b,Corrected R a,Delta,R,angle,strain_aprox,Passive Corrected R,Passive Corrected R b
1413,1413,1413,1413,296.8862612247467,667.6432,1030.3616,962.1252,194497.6406,1370.4674,1725.6697,1669.1925,3284.1279,24.86,0.199987,64.0,6542.0,0.0006219006113935869,1649.9942136200964,1650.1215986870566,2658.0,1.6108568404815649,0.1149089204301692,0.001792639719731102,0.1205747968592732,134.74020238453522
1414,1414,1414,1414,297.0885517597198,667.6505,1030.368,962.1417,194467.5938,1370.4761,1725.6748,1669.2067,3284.1255,24.86,0.199989,64.0,6599.0,0.0006352299179441499,1649.986217021792,1650.1239675275226,2715.0,1.5770941482504603,0.11737170783161845,0.001843118957142956,0.12373897646591557,167.19723139191046
1415,1415,1415,1415,297.27304291725164,667.6373,1030.3601,962.1307,194419.5156,1370.4603,1725.6685,1669.1973,3284.1216,24.86,0.199984,64.0,6662.0,0.0006499623093947723,1650.0054923777152,1650.1262198935494,2778.0,1.5413907998560117,0.1200936323794293,0.0018994991118983086,0.1216900489581576,77.44981205416843
1416,1416,1416,1416,297.48465943336487,667.637,1030.3616,962.1316,194443.5312,1370.46,1725.6697,1669.198,3284.1235,24.86,0.199989,64.0,6719.0,0.0006632916159453353,1649.9998038696247,1650.1292600003455,2835.0,1.5104563007054674,0.12255623022614714,0.0019510410607899394,0.12332302787831395,104.87471181806177
1417,1417,1417,1417,297.6844937801361,667.6441,1030.3611,962.1229,194458.5625,1370.4685,1725.6693,1669.1906,3284.1248,24.86,0.199985,64.0,6782.0,0.0006780240073959574,1650.0041864847833,1650.1195967689896,2898.0,1.477682609385783,0.12527794070585746,0.0020085956871383945,0.11967586009859588,86.94944743206725
1418,1418,1418,1418,297.89410805702215,667.6298,1030.3611,962.133,194404.5,1370.4513,1725.6693,1669.1992,3284.1204,24.84,0.199987,64.0,6839.0,0.0006913533139465204,1650.0065943674576,1650.1372673007488,2955.0,1.4492355372250425,0.12774034074694082,0.0020612001578196467,0.12601452196497576,71.14686700655147
1419,1419,1419,1419,298.07434558868414,667.6449,1030.3768,962.1303,194452.5625,1370.4694,1725.6819,1669.1969,3284.1243,24.85,0.199986,64.0,6902.0,0.0007060857053971426,1649.9990695708009,1650.146547413624,3018.0,1.419045447978794,0.13046182804131018,0.0021199290437621675,0.1350212496444101,108.98146771406755
1420,1420,1420,1420,298.2842395305633,667.6312,1030.3739,962.134,194611.9531,1370.4529,1725.6796,1669.2001,3284.1372,24.85,0.199987,64.0,6959.0,0.0007194150119477058,1649.9632636118665,1650.1583158248254,3075.0,1.3927976626016259,0.13292402202983927,0.0021735958423072343,0.1381939536703385,282.38807785511017
1421,1421,1421,1421,298.4754498004913,667.6291,1030.3744,962.1363,194437.5469,1370.4504,1725.6799,1669.2020000000002,3284.123,24.85,0.199987,64.0,7022.0,0.0007341474033983279,1649.9969989514211,1650.1618005977296,3138.0,1.3648975532186105,0.13564527702612125,0.002233498771165944,0.13962480611223782,116.69453280745074
1422,1422,1422,1422,298.6857833862305,667.6337,1030.3778,962.122,194434.5312,1370.4559,1725.6826,1669.1898,3284.1228,24.84,0.19999,64.0,7079.0,0.0007474767099488908,1650.0098782325015,1650.162166756398,3195.0,1.3406037597809075,0.13810725671932456,0.002288227699417119,0.14098579600135966,59.508847668301314
1423,1423,1423,1423,298.87568855285645,667.6314,1030.37,962.1229,194500.6562,1370.4532,1725.6764,1669.1906,3284.1282,24.84,0.199987,64.0,7141.0,0.0007619752539161697,1649.995568416066,1650.1511284178534,3257.0,1.3151455402210623,0.14078508062926484,0.002348330164858731,0.13420530105679518,129.04314743215218
1424,1424,1424,1424,299.09523773193365,667.6331,1030.3798,962.1192,194449.5469,1370.4552,1725.6842,1669.1874,3284.124000000001,24.86,0.199984,64.0,7199.0,0.0007755384079500758,1650.0092049628665,1650.1664672386985,3315.0,1.2921929449472098,0.14329002746886807,0.002405095305410629,0.14325175384180966,63.917837291024625
1425,1425,1425,1425,299.27548885345465,667.6304,1030.3798,962.1316,194452.5625,1370.4520000000002,1725.6842,1669.198,3284.1243,24.84,0.199986,64.0,7266.0,0.0007912061893340711,1649.9979548576737,1650.1698036587784,3382.0,1.2666599532820817,0.14618353287509767,0.002471318853681432,0.14444856412433182,113.90601181797683
1426,1426,1426,1426,299.4868381023407,667.6248,1030.3849,962.1357,194467.5938,1370.4453,1725.6882,1669.2015,3284.1255,24.85,0.19999,64.0,7319.0,0.0008036001059512612,1649.9913618101682,1650.1857992111554,3435.0,1.2471687372634643,0.14847231694127747,0.002524198227656356,0.1520308373028456,144.4685662984848
1427,1427,1427,1427,299.6867175102234,667.6262,1030.3849,962.1289,194413.5,1370.4469,1725.6882,1669.1957,3284.1211,24.84,0.199984,64.0,7382.0,0.0008183324974018835,1650.0082674152357,1650.1840691993664,3498.0,1.2247692973127502,0.15119282041448992,0.0025876219384682844,0.15141026900823815,64.61561252595857
1428,1428,1428,1428,299.8866248130798,667.6312,1030.4005,962.1216,194491.625,1370.4529,1725.7008,1669.1895,3284.1274,24.85,0.199987,64.0,7444.0,0.0008328310413691626,1649.9985321528186,1650.2056504311365,3560.0,1.2035005056179775,0.1538700046856547,0.0026506402594449986,0.16479395367025518,115.08740332862362
1429,1429,1429,1429,300.08650994300837,667.6382,1030.3911,962.122,194449.5469,1370.4614,1725.6932,1669.1898,3284.124000000001,24.87,0.199986,64.0,7501.0,0.0008461603479197256,1650.0068040164572,1650.1802735348206,3617.0,1.1845911928393698,0.15633116537564393,0.002709102708400632,0.15229111219730385,74.52454766817391
1430,1430,1430,1430,300.28642201423645,667.6262,1030.3966,962.1234,194560.7812,1370.4469,1725.6976,1669.1909,3284.1331,24.87,0.199989,64.0,7564.0,0.0008608927393703479,1649.9828298072714,1650.2048891486947,3680.0,1.1643739673913045,0.1590512577588767,0.0027743055718811443,0.1631102690082571,191.0622028564103
